City,Temperature (°C)
United Kingdom,7
Paris,19
Amsterdam,12
Rome,23
Madrid,15
Lisbon,18
Athens,22
Barcelona,20
Berlin,13
Milan,15
Vienna,12
Brussels,16
Prague,12
Budapest,13
Zurich,16
Cairo,25
Casablanca,23
Marrakech,24
Tunis,29
Algiers,25
Tripoli,28
Tangier,21
Beirut,24
Amman,21
Istanbul,19
Doha,32
Manama,28
Nice,8
Santorini,21
Albufeira,18
Catania,25
Malaga,21
Dubrovnik,17
Naples,19
Toulon,19
Sharm El Sheikh,26
Hurghada,27
Djerba,25
Essaouira,20
Agadir,21
