City,Temperature (°C)
United Kingdom,20
Paris,30
Amsterdam,28
Rome,33
Madrid,31
Lisbon,28
Athens,39
Barcelona,35
Berlin,28
Milan,31
Vienna,33
Brussels,28
Prague,30
Budapest,38
Zurich,30
Cairo,41
Casablanca,28
Marrakech,39
Tunis,47
Algiers,29
Tripoli,38
Tangier,30
Beirut,37
Amman,35
Istanbul,31
Doha,42
Manama,41
Nice,22
Santorini,31
Albufeira,27
Catania,40
Malaga,37
Dubrovnik,31
Naples,32
Toulon,28
Sharm El Sheikh,36
Hurghada,38
Djerba,41
Essaouira,26
Agadir,29
