City,Temperature (°C)
United Kingdom,19
Paris,30
Amsterdam,22
Rome,35
Madrid,40
Lisbon,34
Athens,35
Barcelona,29
Berlin,24
Milan,30
Vienna,28
Brussels,26
Prague,25
Budapest,32
Zurich,26
Cairo,39
Casablanca,29
Marrakech,43
Tunis,40
Algiers,28
Tripoli,33
Tangier,31
Beirut,30
Amman,33
Istanbul,32
Doha,44
Manama,41
Nice,21
Santorini,27
Albufeira,29
Catania,32
Malaga,31
Dubrovnik,27
Naples,28
Toulon,27
Sharm El Sheikh,36
Hurghada,36
Djerba,29
Essaouira,24
Agadir,29
