City,Temperature (°C)
United Kingdom,24
Paris,38
Amsterdam,31
Rome,38
Madrid,39
Lisbon,34
Athens,35
Barcelona,32
Berlin,40
Milan,38
Vienna,40
Brussels,32
Prague,37
Budapest,41
Zurich,35
Cairo,40
Casablanca,30
Marrakech,42
Tunis,39
Algiers,28
Tripoli,30
Tangier,33
Beirut,28
Amman,34
Istanbul,32
Doha,44
Manama,36
Nice,26
Santorini,25
Albufeira,30
Catania,34
Malaga,30
Dubrovnik,29
Naples,30
Toulon,33
Sharm El Sheikh,36
Hurghada,35
Djerba,31
Essaouira,28
Agadir,34
