City,Price,Date,Beach
Paris,51.12,2025-07-04,False
Amsterdam,101.61,2025-07-02,False
Rome,65.62,2025-06-30,True
Madrid,114.64,2025-07-02,False
Lisbon,109.78,2025-07-02,True
Athens,96.93,2025-07-03,True
Barcelona,55.89,2025-07-02,True
Berlin,51.12,2025-07-03,False
Milan,101.72,2025-07-04,False
Vienna,103.33,2025-07-01,False
Brussels,98.62,2025-06-30,False
Prague,41.97,2025-06-30,False
Budapest,53.98,2025-06-30,False
Zurich,96.5,2025-07-02,False
Cairo,143.29,2025-07-04,False
Casablanca,148.01,2025-07-02,True
Marrakech,48.97,2025-06-30,False
Tunis,192.85,2025-07-02,True
Tangier,140.23,2025-07-02,True
Istanbul,119.3,2025-06-30,True
Doha,183.81,2025-07-04,True
Manama,131.03,2025-07-02,True
Nice,87.66,2025-06-30,True
Santorini,126.45,2025-07-01,True
Albufeira,40.41,2025-07-02,True
Catania,71.53,2025-07-02,True
Malaga,74.12,2025-07-01,True
Dubrovnik,40.86,2025-07-01,True
Naples,69.14,2025-07-01,True
Toulon,196.27,2025-06-30,True
Sharm El Sheikh,135.52,2025-07-01,True
Hurghada,110.76,2025-07-02,True
Djerba,215.17,2025-07-01,True
Essaouira,136.19,2025-07-02,True
Agadir,76.91,2025-07-02,True
