City,Temperature (°C)
United Kingdom,24
Paris,41
Amsterdam,33
Rome,35
Madrid,39
Lisbon,37
Athens,36
Barcelona,31
Berlin,37
Milan,35
Vienna,37
Brussels,39
Prague,35
Budapest,39
Zurich,33
Cairo,40
Casablanca,36
Marrakech,45
Tunis,39
Algiers,29
Tripoli,33
Tangier,33
Beirut,31
Amman,33
Istanbul,29
Doha,45
Manama,42
Nice,26
Santorini,26
Albufeira,31
Catania,33
Malaga,31
Dubrovnik,31
Naples,31
Toulon,31
Sharm El Sheikh,34
Hurghada,36
Djerba,32
Essaouira,37
Agadir,31
