City,Temperature (°C)
United Kingdom,24
Paris,41
Amsterdam,36
Rome,38
Madrid,40
Lisbon,32
Athens,37
Barcelona,30
Berlin,33
Milan,39
Vienna,35
Brussels,40
Prague,32
Budapest,35
Zurich,37
Cairo,43
Casablanca,28
Marrakech,45
Tunis,47
Algiers,31
Tripoli,38
Tangier,31
Beirut,33
Amman,34
Istanbul,31
Doha,42
Manama,36
Nice,26
Santorini,27
Albufeira,30
Catania,37
Malaga,34
Dubrovnik,30
Naples,32
Toulon,30
Sharm El Sheikh,36
Hurghada,36
Djerba,31
Essaouira,25
Agadir,27
