City,Temperature (°C)
United Kingdom,22
Paris,32
Amsterdam,30
Rome,35
Madrid,38
Lisbon,28
Athens,39
Barcelona,32
Berlin,31
Milan,31
Vienna,33
Brussels,30
Prague,32
Budapest,36
Zurich,30
Cairo,40
Casablanca,29
Marrakech,44
Tunis,46
Algiers,33
Tripoli,37
Tangier,30
Beirut,31
Amman,34
Istanbul,34
Doha,45
Manama,40
Nice,23
Santorini,28
Albufeira,32
Catania,38
Malaga,39
Dubrovnik,30
Naples,29
Toulon,29
Sharm El Sheikh,36
Hurghada,37
Djerba,35
Essaouira,32
Agadir,35
