City,Temperature (°C)
United Kingdom,19
Paris,25
Amsterdam,22
Rome,37
Madrid,35
Lisbon,37
Athens,36
Barcelona,28
Berlin,23
Milan,29
Vienna,28
Brussels,24
Prague,24
Budapest,32
Zurich,24
Cairo,41
Casablanca,28
Marrakech,41
Tunis,40
Algiers,31
Tripoli,30
Tangier,30
Beirut,31
Amman,35
Istanbul,33
Doha,46
Manama,44
Nice,20
Santorini,28
Albufeira,30
Catania,32
Malaga,35
Dubrovnik,26
Naples,27
Toulon,28
Sharm El Sheikh,36
Hurghada,37
Djerba,29
Essaouira,25
Agadir,32
