City,Temperature (°C)
United Kingdom,18
Paris,33
Amsterdam,27
Rome,35
Madrid,35
Lisbon,30
Athens,32
Barcelona,29
Berlin,29
Milan,29
Vienna,29
Brussels,30
Prague,28
Budapest,31
Zurich,28
Cairo,36
Casablanca,32
Marrakech,38
Tunis,37
Algiers,27
Tripoli,30
Tangier,30
Beirut,28
Amman,31
Istanbul,26
Doha,43
Manama,39
Nice,22
Santorini,26
Albufeira,26
Catania,30
Malaga,29
Dubrovnik,26
Naples,29
Toulon,26
Sharm El Sheikh,32
Hurghada,34
Djerba,30
Essaouira,30
Agadir,33
