City,Temperature (°C)
United Kingdom,19
Paris,25
Amsterdam,22
Rome,36
Madrid,34
Lisbon,29
Athens,35
Barcelona,32
Berlin,32
Milan,32
Vienna,33
Brussels,23
Prague,29
Budapest,34
Zurich,28
Cairo,38
Casablanca,28
Marrakech,42
Tunis,46
Algiers,32
Tripoli,41
Tangier,32
Beirut,35
Amman,33
Istanbul,28
Doha,44
Manama,43
Nice,23
Santorini,31
Albufeira,31
Catania,40
Malaga,32
Dubrovnik,34
Naples,36
Toulon,30
Sharm El Sheikh,37
Hurghada,38
Djerba,34
Essaouira,26
Agadir,28
