City,Temperature (°C)
United Kingdom,19
Paris,38
Amsterdam,27
Rome,30
Madrid,42
Lisbon,30
Athens,33
Barcelona,31
Berlin,30
Milan,32
Vienna,32
Brussels,32
Prague,31
Budapest,34
Zurich,32
Cairo,39
Casablanca,30
Marrakech,43
Tunis,37
Algiers,30
Tripoli,30
Tangier,33
Beirut,30
Amman,38
Istanbul,31
Doha,41
Manama,40
Nice,23
Santorini,29
Albufeira,29
Catania,32
Malaga,34
Dubrovnik,28
Naples,30
Toulon,28
Sharm El Sheikh,36
Hurghada,35
Djerba,30
Essaouira,28
Agadir,32
