City,Temperature (°C)
United Kingdom,19
Paris,34
Amsterdam,26
Rome,37
Madrid,39
Lisbon,38
Athens,37
Barcelona,32
Berlin,31
Milan,35
Vienna,37
Brussels,27
Prague,33
Budapest,36
Zurich,31
Cairo,39
Casablanca,36
Marrakech,44
Tunis,40
Algiers,28
Tripoli,31
Tangier,32
Beirut,31
Amman,32
Istanbul,32
Doha,44
Manama,37
Nice,22
Santorini,26
Albufeira,31
Catania,34
Malaga,31
Dubrovnik,29
Naples,31
Toulon,32
Sharm El Sheikh,34
Hurghada,36
Djerba,29
Essaouira,25
Agadir,31
