City,Temperature (°C)
United Kingdom,19
Paris,36
Amsterdam,25
Rome,37
Madrid,38
Lisbon,34
Athens,40
Barcelona,32
Berlin,28
Milan,34
Vienna,33
Brussels,30
Prague,31
Budapest,37
Zurich,34
Cairo,40
Casablanca,35
Marrakech,45
Tunis,42
Algiers,29
Tripoli,32
Tangier,32
Beirut,30
Amman,36
Istanbul,34
Doha,45
Manama,41
Nice,26
Santorini,26
Albufeira,31
Catania,34
Malaga,33
Dubrovnik,31
Naples,33
Toulon,31
Sharm El Sheikh,34
Hurghada,34
Djerba,34
Essaouira,35
Agadir,38
