City,Temperature (°C)
United Kingdom,18
Paris,28
Amsterdam,20
Rome,34
Madrid,35
Lisbon,31
Athens,31
Barcelona,27
Berlin,21
Milan,29
Vienna,27
Brussels,23
Prague,20
Budapest,29
Zurich,24
Cairo,38
Casablanca,28
Marrakech,38
Tunis,40
Algiers,25
Tripoli,32
Tangier,27
Beirut,28
Amman,30
Istanbul,28
Doha,45
Manama,41
Nice,19
Santorini,25
Albufeira,29
Catania,32
Malaga,29
Dubrovnik,27
Naples,28
Toulon,27
Sharm El Sheikh,34
Hurghada,36
Djerba,26
Essaouira,22
Agadir,25
