City,Temperature (°C)
United Kingdom,17
Paris,32
Amsterdam,26
Rome,33
Madrid,36
Lisbon,30
Athens,31
Barcelona,30
Berlin,28
Milan,26
Vienna,29
Brussels,31
Prague,26
Budapest,26
Zurich,27
Cairo,36
Casablanca,32
Marrakech,40
Tunis,37
Algiers,28
Tripoli,30
Tangier,30
Beirut,29
Amman,31
Istanbul,27
Doha,41
Manama,37
Nice,20
Santorini,25
Albufeira,26
Catania,31
Malaga,29
Dubrovnik,27
Naples,29
Toulon,26
Sharm El Sheikh,33
Hurghada,37
Djerba,29
Essaouira,30
Agadir,33
