City,Temperature (°C)
United Kingdom,18
Paris,26
Amsterdam,22
Rome,35
Madrid,33
Lisbon,35
Athens,29
Barcelona,31
Berlin,21
Milan,29
Vienna,27
Brussels,24
Prague,21
Budapest,30
Zurich,26
Cairo,35
Casablanca,26
Marrakech,38
Tunis,30
Algiers,24
Tripoli,31
Tangier,24
Beirut,33
Amman,32
Istanbul,26
Doha,39
Manama,35
Nice,21
Santorini,25
Albufeira,30
Catania,30
Malaga,31
Dubrovnik,26
Naples,32
Toulon,30
Sharm El Sheikh,37
Hurghada,35
Djerba,24
Essaouira,21
Agadir,30
