City,Temperature (°C)
United Kingdom,19
Paris,23
Amsterdam,23
Rome,32
Madrid,33
Lisbon,29
Athens,33
Barcelona,29
Berlin,29
Milan,30
Vienna,31
Brussels,22
Prague,26
Budapest,30
Zurich,28
Cairo,40
Casablanca,24
Marrakech,37
Tunis,41
Algiers,28
Tripoli,32
Tangier,27
Beirut,28
Amman,34
Istanbul,27
Doha,46
Manama,37
Nice,21
Santorini,25
Albufeira,30
Catania,32
Malaga,29
Dubrovnik,27
Naples,29
Toulon,26
Sharm El Sheikh,36
Hurghada,35
Djerba,28
Essaouira,23
Agadir,24
