City,Temperature (°C)
United Kingdom,12
Paris,18
Amsterdam,16
Rome,30
Madrid,27
Lisbon,23
Athens,23
Barcelona,25
Berlin,22
Milan,23
Vienna,20
Brussels,16
Prague,20
Budapest,20
Zurich,22
Cairo,30
Casablanca,29
Marrakech,34
Tunis,33
Algiers,24
Tripoli,28
Tangier,24
Beirut,22
Amman,22
Istanbul,18
Doha,34
Manama,31
Nice,14
Santorini,18
Albufeira,21
Catania,24
Malaga,24
Dubrovnik,21
Naples,22
Toulon,22
Sharm El Sheikh,28
Hurghada,31
Djerba,24
Essaouira,27
Agadir,29
