City,Temperature (°C)
United Kingdom,17
Paris,26
Amsterdam,19
Rome,32
Madrid,35
Lisbon,30
Athens,34
Barcelona,28
Berlin,24
Milan,28
Vienna,30
Brussels,23
Prague,25
Budapest,33
Zurich,25
Cairo,39
Casablanca,27
Marrakech,40
Tunis,40
Algiers,27
Tripoli,33
Tangier,33
Beirut,31
Amman,35
Istanbul,29
Doha,40
Manama,36
Nice,21
Santorini,24
Albufeira,29
Catania,34
Malaga,30
Dubrovnik,28
Naples,27
Toulon,27
Sharm El Sheikh,33
Hurghada,34
Djerba,30
Essaouira,22
Agadir,26
