City,Temperature (°C)
United Kingdom,19
Paris,29
Amsterdam,22
Rome,37
Madrid,37
Lisbon,29
Athens,37
Barcelona,30
Berlin,28
Milan,34
Vienna,32
Brussels,25
Prague,32
Budapest,36
Zurich,28
Cairo,41
Casablanca,26
Marrakech,41
Tunis,44
Algiers,30
Tripoli,36
Tangier,31
Beirut,30
Amman,33
Istanbul,32
Doha,44
Manama,38
Nice,24
Santorini,26
Albufeira,29
Catania,36
Malaga,32
Dubrovnik,31
Naples,31
Toulon,31
Sharm El Sheikh,35
Hurghada,35
Djerba,31
Essaouira,23
Agadir,28
