City,Temperature (°C)
United Kingdom,15
Paris,25
Amsterdam,22
Rome,32
Madrid,32
Lisbon,25
Athens,33
Barcelona,25
Berlin,27
Milan,26
Vienna,28
Brussels,23
Prague,26
Budapest,31
Zurich,25
Cairo,39
Casablanca,25
Marrakech,37
Tunis,37
Algiers,32
Tripoli,32
Tangier,28
Beirut,26
Amman,34
Istanbul,28
Doha,44
Manama,37
Nice,19
Santorini,23
Albufeira,29
Catania,30
Malaga,30
Dubrovnik,24
Naples,25
Toulon,25
Sharm El Sheikh,33
Hurghada,32
Djerba,33
Essaouira,22
Agadir,25
