City,Temperature (°C)
United Kingdom,20
Paris,30
Amsterdam,25
Rome,37
Madrid,37
Lisbon,32
Athens,36
Barcelona,31
Berlin,30
Milan,33
Vienna,32
Brussels,24
Prague,27
Budapest,31
Zurich,28
Cairo,39
Casablanca,32
Marrakech,45
Tunis,44
Algiers,31
Tripoli,36
Tangier,32
Beirut,32
Amman,35
Istanbul,31
Doha,43
Manama,44
Nice,23
Santorini,27
Albufeira,30
Catania,39
Malaga,36
Dubrovnik,32
Naples,33
Toulon,30
Sharm El Sheikh,35
Hurghada,34
Djerba,33
Essaouira,29
Agadir,31
