City,Temperature (°C)
United Kingdom,20
Paris,36
Amsterdam,33
Rome,30
Madrid,35
Lisbon,31
Athens,34
Barcelona,32
Berlin,33
Milan,32
Vienna,31
Brussels,32
Prague,30
Budapest,31
Zurich,33
Cairo,38
Casablanca,26
Marrakech,33
Tunis,39
Algiers,30
Tripoli,31
Tangier,29
Beirut,27
Amman,34
Istanbul,28
Doha,41
Manama,35
Nice,22
Santorini,25
Albufeira,26
Catania,32
Malaga,34
Dubrovnik,27
Naples,28
Toulon,26
Sharm El Sheikh,34
Hurghada,35
Djerba,32
Essaouira,21
Agadir,26
