City,Temperature (°C)
United Kingdom,18
Paris,30
Amsterdam,23
Rome,28
Madrid,35
Lisbon,32
Athens,27
Barcelona,27
Berlin,29
Milan,28
Vienna,29
Brussels,26
Prague,27
Budapest,29
Zurich,28
Cairo,36
Casablanca,29
Marrakech,39
Tunis,36
Algiers,26
Tripoli,25
Tangier,29
Beirut,25
Amman,31
Istanbul,23
Doha,43
Manama,40
Nice,19
Santorini,22
Albufeira,28
Catania,26
Malaga,30
Dubrovnik,23
Naples,25
Toulon,26
Sharm El Sheikh,31
Hurghada,33
Djerba,26
Essaouira,21
Agadir,23
