City,Temperature (°C)
United Kingdom,13
Paris,23
Amsterdam,20
Rome,29
Madrid,20
Lisbon,21
Athens,28
Barcelona,23
Berlin,20
Milan,25
Vienna,24
Brussels,21
Prague,20
Budapest,24
Zurich,24
Cairo,40
Casablanca,23
Marrakech,28
Tunis,37
Algiers,27
Tripoli,31
Tangier,21
Beirut,23
Amman,29
Istanbul,25
Doha,39
Manama,34
Nice,15
Santorini,23
Albufeira,19
Catania,29
Malaga,26
Dubrovnik,21
Naples,23
Toulon,21
Sharm El Sheikh,32
Hurghada,34
Djerba,30
Essaouira,19
Agadir,22
