City,Temperature (°C)
United Kingdom,14
Paris,26
Amsterdam,19
Rome,33
Madrid,34
Lisbon,30
Athens,31
Barcelona,28
Berlin,23
Milan,26
Vienna,25
Brussels,21
Prague,22
Budapest,28
Zurich,24
Cairo,38
Casablanca,29
Marrakech,39
Tunis,37
Algiers,31
Tripoli,30
Tangier,31
Beirut,30
Amman,33
Istanbul,28
Doha,39
Manama,39
Nice,19
Santorini,25
Albufeira,29
Catania,30
Malaga,32
Dubrovnik,25
Naples,27
Toulon,27
Sharm El Sheikh,34
Hurghada,36
Djerba,31
Essaouira,27
Agadir,33
