City,Temperature (°C)
United Kingdom,16
Paris,26
Amsterdam,22
Rome,32
Madrid,34
Lisbon,25
Athens,30
Barcelona,26
Berlin,25
Milan,29
Vienna,26
Brussels,22
Prague,24
Budapest,27
Zurich,27
Cairo,39
Casablanca,28
Marrakech,38
Tunis,43
Algiers,29
Tripoli,32
Tangier,27
Beirut,24
Amman,30
Istanbul,28
Doha,44
Manama,35
Nice,19
Santorini,25
Albufeira,30
Catania,34
Malaga,34
Dubrovnik,22
Naples,24
Toulon,26
Sharm El Sheikh,34
Hurghada,37
Djerba,32
Essaouira,23
Agadir,25
