City,Temperature (°C)
United Kingdom,18
Paris,39
Amsterdam,36
Rome,36
Madrid,38
Lisbon,33
Athens,36
Barcelona,31
Berlin,37
Milan,36
Vienna,35
Brussels,36
Prague,33
Budapest,38
Zurich,32
Cairo,40
Casablanca,31
Marrakech,43
Tunis,40
Algiers,29
Tripoli,32
Tangier,32
Beirut,31
Amman,33
Istanbul,30
Doha,45
Manama,42
Nice,24
Santorini,27
Albufeira,30
Catania,33
Malaga,31
Dubrovnik,31
Naples,30
Toulon,31
Sharm El Sheikh,35
Hurghada,37
Djerba,31
Essaouira,22
Agadir,32
