City,Temperature (°C)
United Kingdom,12
Paris,16
Amsterdam,13
Rome,27
Madrid,22
Lisbon,24
Athens,27
Barcelona,25
Berlin,18
Milan,21
Vienna,22
Brussels,14
Prague,18
Budapest,20
Zurich,17
Cairo,40
Casablanca,22
Marrakech,28
Tunis,36
Algiers,22
Tripoli,27
Tangier,22
Beirut,24
Amman,30
Istanbul,26
Doha,40
Manama,37
Nice,15
Santorini,21
Albufeira,21
Catania,28
Malaga,25
Dubrovnik,18
Naples,21
Toulon,20
Sharm El Sheikh,32
Hurghada,34
Djerba,23
Essaouira,19
Agadir,22
