City,Temperature (°C)
United Kingdom,19
Paris,32
Amsterdam,25
Rome,38
Madrid,38
Lisbon,32
Athens,36
Barcelona,35
Berlin,28
Milan,34
Vienna,32
Brussels,28
Prague,29
Budapest,32
Zurich,33
Cairo,40
Casablanca,32
Marrakech,42
Tunis,38
Algiers,30
Tripoli,33
Tangier,34
Beirut,35
Amman,33
Istanbul,31
Doha,43
Manama,40
Nice,24
Santorini,28
Albufeira,32
Catania,36
Malaga,36
Dubrovnik,32
Naples,34
Toulon,33
Sharm El Sheikh,34
Hurghada,37
Djerba,33
Essaouira,31
Agadir,34
