City,Temperature (°C)
United Kingdom,18
Paris,25
Amsterdam,21
Rome,32
Madrid,33
Lisbon,26
Athens,33
Barcelona,28
Berlin,26
Milan,28
Vienna,31
Brussels,21
Prague,25
Budapest,31
Zurich,29
Cairo,39
Casablanca,25
Marrakech,37
Tunis,40
Algiers,27
Tripoli,31
Tangier,27
Beirut,28
Amman,32
Istanbul,28
Doha,46
Manama,38
Nice,20
Santorini,25
Albufeira,30
Catania,32
Malaga,27
Dubrovnik,25
Naples,29
Toulon,26
Sharm El Sheikh,33
Hurghada,35
Djerba,30
Essaouira,23
Agadir,25
