City,Temperature (°C)
United Kingdom,19
Paris,34
Amsterdam,24
Rome,39
Madrid,40
Lisbon,37
Athens,35
Barcelona,34
Berlin,31
Milan,35
Vienna,34
Brussels,30
Prague,29
Budapest,29
Zurich,30
Cairo,40
Casablanca,35
Marrakech,44
Tunis,39
Algiers,29
Tripoli,31
Tangier,32
Beirut,29
Amman,32
Istanbul,31
Doha,44
Manama,35
Nice,23
Santorini,28
Albufeira,31
Catania,34
Malaga,33
Dubrovnik,29
Naples,32
Toulon,30
Sharm El Sheikh,34
Hurghada,36
Djerba,30
Essaouira,31
Agadir,34
