City,Price,Date,Beach
Paris,97.54,2025-07-21,False
Amsterdam,67.06,2025-07-22,False
Rome,110.97,2025-07-25,True
Madrid,121.36,2025-07-22,False
Lisbon,174.81,2025-07-25,True
Athens,143.38,2025-07-22,True
Barcelona,80.71,2025-07-22,True
Berlin,140.32,2025-07-25,False
Milan,128.13,2025-07-21,False
Vienna,170.46,2025-07-21,False
Brussels,134.07,2025-07-22,False
Prague,147.9,2025-07-21,False
Budapest,152.4,2025-07-21,False
Zurich,155.71,2025-07-22,False
Cairo,260.99,2025-07-23,False
Casablanca,156.21,2025-07-22,True
Marrakech,186.95,2025-07-25,False
Tunis,268.47,2025-07-21,True
Algiers,191.32,2025-07-21,True
Beirut,274.8,2025-07-24,True
Amman,279.28,2025-07-23,True
Istanbul,173.14,2025-07-23,True
Doha,272.96,2025-07-24,True
Manama,257.89,2025-07-23,True
Nice,149.73,2025-07-22,True
Santorini,185.33,2025-07-22,True
Albufeira,60.9,2025-07-21,True
Catania,72.78,2025-07-23,True
Malaga,47.5,2025-07-22,True
Dubrovnik,110.42,2025-07-23,True
Toulon,242.72,2025-07-21,True
Sharm El Sheikh,261.28,2025-07-24,True
Hurghada,262.86,2025-07-23,True
Djerba,271.15,2025-07-21,True
Essaouira,192.37,2025-07-23,True
Agadir,105.08,2025-07-24,True
