City,Temperature (°C)
United Kingdom,22
Paris,30
Amsterdam,29
Rome,34
Madrid,29
Lisbon,25
Athens,36
Barcelona,33
Berlin,31
Milan,32
Vienna,34
Brussels,28
Prague,31
Budapest,39
Zurich,31
Cairo,41
Casablanca,30
Marrakech,37
Tunis,46
Algiers,32
Tripoli,41
Tangier,28
Beirut,37
Amman,35
Istanbul,31
Doha,43
Manama,43
Nice,23
Santorini,30
Albufeira,27
Catania,38
Malaga,33
Dubrovnik,32
Naples,34
Toulon,30
Sharm El Sheikh,35
Hurghada,37
Djerba,42
Essaouira,25
Agadir,29
