City,Temperature (°C)
United Kingdom,25
Paris,36
Amsterdam,31
Rome,35
Madrid,37
Lisbon,31
Athens,37
Barcelona,34
Berlin,32
Milan,39
Vienna,37
Brussels,35
Prague,35
Budapest,39
Zurich,35
Cairo,42
Casablanca,32
Marrakech,42
Tunis,41
Algiers,32
Tripoli,32
Tangier,34
Beirut,36
Amman,36
Istanbul,32
Doha,45
Manama,37
Nice,27
Santorini,29
Albufeira,33
Catania,41
Malaga,37
Dubrovnik,33
Naples,33
Toulon,31
Sharm El Sheikh,35
Hurghada,36
Djerba,36
Essaouira,26
Agadir,29
