City,Temperature (°C)
United Kingdom,18
Paris,32
Amsterdam,28
Rome,33
Madrid,36
Lisbon,30
Athens,32
Barcelona,27
Berlin,30
Milan,28
Vienna,29
Brussels,30
Prague,27
Budapest,29
Zurich,27
Cairo,36
Casablanca,31
Marrakech,39
Tunis,37
Algiers,27
Tripoli,29
Tangier,30
Beirut,29
Amman,29
Istanbul,28
Doha,41
Manama,38
Nice,21
Santorini,25
Albufeira,26
Catania,30
Malaga,29
Dubrovnik,27
Naples,29
Toulon,25
Sharm El Sheikh,33
Hurghada,34
Djerba,30
Essaouira,31
Agadir,33
