City,Temperature (°C)
United Kingdom,19
Paris,28
Amsterdam,29
Rome,34
Madrid,34
Lisbon,29
Athens,33
Barcelona,27
Berlin,24
Milan,28
Vienna,31
Brussels,30
Prague,27
Budapest,33
Zurich,26
Cairo,37
Casablanca,28
Marrakech,37
Tunis,40
Algiers,31
Tripoli,32
Tangier,29
Beirut,30
Amman,33
Istanbul,29
Doha,44
Manama,38
Nice,21
Santorini,26
Albufeira,28
Catania,32
Malaga,32
Dubrovnik,28
Naples,27
Toulon,28
Sharm El Sheikh,34
Hurghada,35
Djerba,35
Essaouira,25
Agadir,31
