City,Temperature (°C)
United Kingdom,13
Paris,18
Amsterdam,16
Rome,29
Madrid,24
Lisbon,22
Athens,21
Barcelona,22
Berlin,16
Milan,21
Vienna,17
Brussels,18
Prague,16
Budapest,18
Zurich,23
Cairo,36
Casablanca,21
Marrakech,29
Tunis,33
Algiers,23
Tripoli,31
Tangier,22
Beirut,22
Amman,28
Istanbul,17
Doha,29
Manama,26
Nice,14
Santorini,18
Albufeira,21
Catania,23
Malaga,23
Dubrovnik,18
Naples,20
Toulon,19
Sharm El Sheikh,29
Hurghada,31
Djerba,27
Essaouira,22
Agadir,27
