City,Temperature (°C)
United Kingdom,15
Paris,18
Amsterdam,17
Rome,34
Madrid,25
Lisbon,27
Athens,29
Barcelona,27
Berlin,25
Milan,26
Vienna,29
Brussels,18
Prague,27
Budapest,30
Zurich,25
Cairo,34
Casablanca,25
Marrakech,33
Tunis,36
Algiers,28
Tripoli,32
Tangier,26
Beirut,29
Amman,34
Istanbul,26
Doha,40
Manama,37
Nice,17
Santorini,24
Albufeira,26
Catania,31
Malaga,29
Dubrovnik,25
Naples,25
Toulon,25
Sharm El Sheikh,32
Hurghada,34
Djerba,32
Essaouira,24
Agadir,26
