City,Temperature (°C)
United Kingdom,21
Paris,36
Amsterdam,32
Rome,33
Madrid,38
Lisbon,31
Athens,35
Barcelona,33
Berlin,37
Milan,41
Vienna,40
Brussels,37
Prague,38
Budapest,41
Zurich,39
Cairo,42
Casablanca,31
Marrakech,45
Tunis,43
Algiers,33
Tripoli,35
Tangier,37
Beirut,36
Amman,38
Istanbul,30
Doha,44
Manama,37
Nice,28
Santorini,26
Albufeira,32
Catania,36
Malaga,39
Dubrovnik,31
Naples,34
Toulon,31
Sharm El Sheikh,37
Hurghada,37
Djerba,35
Essaouira,30
Agadir,35
