City,Temperature (°C)
United Kingdom,16
Paris,23
Amsterdam,18
Rome,34
Madrid,33
Lisbon,28
Athens,33
Barcelona,27
Berlin,23
Milan,26
Vienna,26
Brussels,20
Prague,23
Budapest,28
Zurich,25
Cairo,38
Casablanca,27
Marrakech,39
Tunis,36
Algiers,32
Tripoli,30
Tangier,30
Beirut,30
Amman,33
Istanbul,27
Doha,39
Manama,39
Nice,18
Santorini,27
Albufeira,29
Catania,30
Malaga,31
Dubrovnik,26
Naples,26
Toulon,26
Sharm El Sheikh,33
Hurghada,36
Djerba,32
Essaouira,28
Agadir,33
