City,Temperature (°C)
United Kingdom,24
Paris,32
Amsterdam,27
Rome,36
Madrid,41
Lisbon,31
Athens,34
Barcelona,35
Berlin,33
Milan,35
Vienna,35
Brussels,30
Prague,34
Budapest,37
Zurich,32
Cairo,42
Casablanca,33
Marrakech,44
Tunis,40
Algiers,34
Tripoli,34
Tangier,34
Beirut,33
Amman,36
Istanbul,30
Doha,42
Manama,39
Nice,25
Santorini,27
Albufeira,33
Catania,32
Malaga,37
Dubrovnik,29
Naples,29
Toulon,31
Sharm El Sheikh,36
Hurghada,39
Djerba,34
Essaouira,27
Agadir,31
