City,Temperature (°C)
United Kingdom,18
Paris,28
Amsterdam,27
Rome,34
Madrid,38
Lisbon,30
Athens,34
Barcelona,33
Berlin,29
Milan,32
Vienna,35
Brussels,28
Prague,31
Budapest,34
Zurich,34
Cairo,40
Casablanca,35
Marrakech,39
Tunis,39
Algiers,33
Tripoli,36
Tangier,32
Beirut,34
Amman,33
Istanbul,27
Doha,42
Manama,41
Nice,23
Santorini,28
Albufeira,34
Catania,34
Malaga,32
Dubrovnik,32
Naples,31
Toulon,30
Sharm El Sheikh,35
Hurghada,35
Djerba,32
Essaouira,30
Agadir,38
