City,Temperature (°C)
United Kingdom,11
Paris,17
Amsterdam,16
Rome,32
Madrid,23
Lisbon,20
Athens,27
Barcelona,19
Berlin,15
Milan,21
Vienna,18
Brussels,16
Prague,15
Budapest,19
Zurich,17
Cairo,39
Casablanca,21
Marrakech,28
Tunis,32
Algiers,23
Tripoli,28
Tangier,21
Beirut,24
Amman,28
Istanbul,23
Doha,41
Manama,35
Nice,12
Santorini,22
Albufeira,22
Catania,26
Malaga,27
Dubrovnik,20
Naples,19
Toulon,20
Sharm El Sheikh,33
Hurghada,33
Djerba,23
Essaouira,20
Agadir,23
