City,Temperature (°C)
United Kingdom,24
Paris,31
Amsterdam,27
Rome,36
Madrid,40
Lisbon,31
Athens,34
Barcelona,36
Berlin,29
Milan,35
Vienna,33
Brussels,31
Prague,30
Budapest,34
Zurich,30
Cairo,40
Casablanca,32
Marrakech,45
Tunis,40
Algiers,34
Tripoli,33
Tangier,38
Beirut,32
Amman,33
Istanbul,29
Doha,41
Manama,40
Nice,25
Santorini,27
Albufeira,33
Catania,33
Malaga,36
Dubrovnik,29
Naples,31
Toulon,31
Sharm El Sheikh,35
Hurghada,37
Djerba,35
Essaouira,28
Agadir,31
