City,Temperature (°C)
United Kingdom,21
Paris,30
Amsterdam,32
Rome,36
Madrid,34
Lisbon,28
Athens,36
Barcelona,33
Berlin,30
Milan,32
Vienna,35
Brussels,30
Prague,31
Budapest,33
Zurich,32
Cairo,39
Casablanca,28
Marrakech,39
Tunis,46
Algiers,29
Tripoli,40
Tangier,31
Beirut,35
Amman,34
Istanbul,30
Doha,42
Manama,43
Nice,23
Santorini,30
Albufeira,31
Catania,42
Malaga,30
Dubrovnik,33
Naples,37
Toulon,29
Sharm El Sheikh,36
Hurghada,38
Djerba,40
Essaouira,26
Agadir,29
