City,Temperature (°C)
United Kingdom,24
Paris,34
Amsterdam,25
Rome,37
Madrid,38
Lisbon,31
Athens,33
Barcelona,30
Berlin,29
Milan,36
Vienna,32
Brussels,30
Prague,30
Budapest,35
Zurich,32
Cairo,44
Casablanca,27
Marrakech,45
Tunis,47
Algiers,33
Tripoli,37
Tangier,29
Beirut,35
Amman,33
Istanbul,31
Doha,45
Manama,38
Nice,25
Santorini,27
Albufeira,30
Catania,37
Malaga,39
Dubrovnik,27
Naples,30
Toulon,34
Sharm El Sheikh,36
Hurghada,37
Djerba,34
Essaouira,26
Agadir,31
