City,Temperature (°C)
United Kingdom,21
Paris,31
Amsterdam,29
Rome,38
Madrid,40
Lisbon,31
Athens,37
Barcelona,32
Berlin,31
Milan,32
Vienna,30
Brussels,30
Prague,31
Budapest,32
Zurich,30
Cairo,42
Casablanca,30
Marrakech,45
Tunis,44
Algiers,34
Tripoli,35
Tangier,35
Beirut,29
Amman,34
Istanbul,34
Doha,43
Manama,43
Nice,23
Santorini,27
Albufeira,32
Catania,36
Malaga,36
Dubrovnik,29
Naples,30
Toulon,32
Sharm El Sheikh,37
Hurghada,38
Djerba,33
Essaouira,28
Agadir,31
