City,Temperature (°C)
United Kingdom,19
Paris,35
Amsterdam,25
Rome,38
Madrid,39
Lisbon,32
Athens,34
Barcelona,34
Berlin,36
Milan,37
Vienna,36
Brussels,31
Prague,34
Budapest,36
Zurich,36
Cairo,38
Casablanca,29
Marrakech,39
Tunis,41
Algiers,33
Tripoli,34
Tangier,31
Beirut,34
Amman,33
Istanbul,30
Doha,43
Manama,43
Nice,24
Santorini,26
Albufeira,29
Catania,41
Malaga,36
Dubrovnik,32
Naples,33
Toulon,34
Sharm El Sheikh,36
Hurghada,39
Djerba,33
Essaouira,24
Agadir,30
