City,Temperature (°C)
United Kingdom,18
Paris,26
Amsterdam,22
Rome,38
Madrid,36
Lisbon,36
Athens,40
Barcelona,29
Berlin,26
Milan,29
Vienna,25
Brussels,23
Prague,25
Budapest,29
Zurich,24
Cairo,42
Casablanca,30
Marrakech,43
Tunis,37
Algiers,29
Tripoli,30
Tangier,32
Beirut,32
Amman,36
Istanbul,35
Doha,45
Manama,41
Nice,19
Santorini,28
Albufeira,30
Catania,32
Malaga,39
Dubrovnik,26
Naples,29
Toulon,28
Sharm El Sheikh,36
Hurghada,37
Djerba,29
Essaouira,25
Agadir,33
