City,Temperature (°C)
United Kingdom,21
Paris,37
Amsterdam,30
Rome,34
Madrid,38
Lisbon,29
Athens,37
Barcelona,34
Berlin,31
Milan,39
Vienna,39
Brussels,36
Prague,33
Budapest,41
Zurich,35
Cairo,39
Casablanca,28
Marrakech,42
Tunis,45
Algiers,32
Tripoli,37
Tangier,32
Beirut,35
Amman,34
Istanbul,33
Doha,43
Manama,38
Nice,26
Santorini,27
Albufeira,32
Catania,37
Malaga,36
Dubrovnik,32
Naples,33
Toulon,32
Sharm El Sheikh,35
Hurghada,37
Djerba,34
Essaouira,26
Agadir,31
