City,Temperature (°C)
United Kingdom,17
Paris,23
Amsterdam,21
Rome,32
Madrid,34
Lisbon,27
Athens,32
Barcelona,25
Berlin,25
Milan,30
Vienna,28
Brussels,21
Prague,25
Budapest,30
Zurich,26
Cairo,40
Casablanca,26
Marrakech,37
Tunis,39
Algiers,26
Tripoli,34
Tangier,27
Beirut,25
Amman,30
Istanbul,29
Doha,45
Manama,39
Nice,19
Santorini,24
Albufeira,29
Catania,32
Malaga,32
Dubrovnik,24
Naples,26
Toulon,26
Sharm El Sheikh,35
Hurghada,36
Djerba,27
Essaouira,23
Agadir,27
