City,Temperature (°C)
United Kingdom,16
Paris,24
Amsterdam,21
Rome,34
Madrid,35
Lisbon,28
Athens,32
Barcelona,30
Berlin,30
Milan,29
Vienna,29
Brussels,22
Prague,27
Budapest,28
Zurich,28
Cairo,38
Casablanca,27
Marrakech,38
Tunis,41
Algiers,27
Tripoli,32
Tangier,27
Beirut,27
Amman,32
Istanbul,27
Doha,45
Manama,37
Nice,20
Santorini,25
Albufeira,29
Catania,33
Malaga,29
Dubrovnik,27
Naples,27
Toulon,26
Sharm El Sheikh,34
Hurghada,35
Djerba,28
Essaouira,23
Agadir,27
