City,Temperature (°C)
United Kingdom,22
Paris,38
Amsterdam,32
Rome,34
Madrid,39
Lisbon,35
Athens,35
Barcelona,32
Berlin,34
Milan,37
Vienna,38
Brussels,35
Prague,35
Budapest,38
Zurich,34
Cairo,44
Casablanca,37
Marrakech,44
Tunis,38
Algiers,29
Tripoli,32
Tangier,34
Beirut,33
Amman,43
Istanbul,31
Doha,44
Manama,39
Nice,27
Santorini,27
Albufeira,31
Catania,34
Malaga,33
Dubrovnik,32
Naples,33
Toulon,31
Sharm El Sheikh,40
Hurghada,39
Djerba,32
Essaouira,33
Agadir,37
