City,Temperature (°C)
United Kingdom,21
Paris,31
Amsterdam,28
Rome,33
Madrid,32
Lisbon,25
Athens,38
Barcelona,31
Berlin,29
Milan,32
Vienna,33
Brussels,28
Prague,30
Budapest,33
Zurich,30
Cairo,41
Casablanca,29
Marrakech,36
Tunis,46
Algiers,36
Tripoli,38
Tangier,28
Beirut,36
Amman,35
Istanbul,31
Doha,43
Manama,38
Nice,22
Santorini,29
Albufeira,24
Catania,38
Malaga,33
Dubrovnik,32
Naples,33
Toulon,29
Sharm El Sheikh,36
Hurghada,36
Djerba,40
Essaouira,24
Agadir,28
