City,Temperature (°C)
United Kingdom,19
Paris,30
Amsterdam,24
Rome,36
Madrid,37
Lisbon,31
Athens,38
Barcelona,32
Berlin,28
Milan,34
Vienna,31
Brussels,26
Prague,31
Budapest,37
Zurich,30
Cairo,42
Casablanca,27
Marrakech,42
Tunis,44
Algiers,29
Tripoli,36
Tangier,32
Beirut,29
Amman,33
Istanbul,32
Doha,43
Manama,38
Nice,24
Santorini,26
Albufeira,30
Catania,37
Malaga,32
Dubrovnik,32
Naples,33
Toulon,31
Sharm El Sheikh,35
Hurghada,36
Djerba,32
Essaouira,23
Agadir,32
