City,Temperature (°C)
United Kingdom,15
Paris,26
Amsterdam,23
Rome,33
Madrid,31
Lisbon,27
Athens,30
Barcelona,28
Berlin,29
Milan,29
Vienna,31
Brussels,21
Prague,29
Budapest,30
Zurich,28
Cairo,34
Casablanca,28
Marrakech,37
Tunis,35
Algiers,28
Tripoli,32
Tangier,29
Beirut,31
Amman,34
Istanbul,26
Doha,40
Manama,40
Nice,20
Santorini,24
Albufeira,26
Catania,30
Malaga,31
Dubrovnik,25
Naples,27
Toulon,27
Sharm El Sheikh,32
Hurghada,34
Djerba,32
Essaouira,30
Agadir,31
