City,Temperature (°C)
United Kingdom,19
Paris,26
Amsterdam,26
Rome,37
Madrid,34
Lisbon,30
Athens,36
Barcelona,31
Berlin,29
Milan,32
Vienna,31
Brussels,23
Prague,27
Budapest,31
Zurich,28
Cairo,39
Casablanca,28
Marrakech,44
Tunis,45
Algiers,30
Tripoli,36
Tangier,32
Beirut,34
Amman,34
Istanbul,30
Doha,43
Manama,45
Nice,23
Santorini,28
Albufeira,30
Catania,42
Malaga,31
Dubrovnik,33
Naples,34
Toulon,30
Sharm El Sheikh,36
Hurghada,45
Djerba,33
Essaouira,29
Agadir,32
