City,Temperature (°C)
United Kingdom,22
Paris,33
Amsterdam,26
Rome,32
Madrid,40
Lisbon,34
Athens,37
Barcelona,31
Berlin,29
Milan,36
Vienna,35
Brussels,30
Prague,32
Budapest,38
Zurich,33
Cairo,43
Casablanca,33
Marrakech,45
Tunis,38
Algiers,33
Tripoli,31
Tangier,32
Beirut,31
Amman,40
Istanbul,32
Doha,41
Manama,39
Nice,26
Santorini,28
Albufeira,31
Catania,34
Malaga,33
Dubrovnik,30
Naples,31
Toulon,30
Sharm El Sheikh,39
Hurghada,42
Djerba,31
Essaouira,32
Agadir,36
