City,Temperature (°C)
United Kingdom,21
Paris,30
Amsterdam,23
Rome,35
Madrid,34
Lisbon,26
Athens,37
Barcelona,34
Berlin,30
Milan,30
Vienna,33
Brussels,24
Prague,27
Budapest,34
Zurich,27
Cairo,40
Casablanca,30
Marrakech,35
Tunis,45
Algiers,34
Tripoli,36
Tangier,27
Beirut,37
Amman,37
Istanbul,32
Doha,42
Manama,40
Nice,22
Santorini,28
Albufeira,26
Catania,37
Malaga,33
Dubrovnik,32
Naples,31
Toulon,29
Sharm El Sheikh,35
Hurghada,37
Djerba,35
Essaouira,24
Agadir,29
