City,Temperature (°C)
United Kingdom,14
Paris,24
Amsterdam,23
Rome,32
Madrid,33
Lisbon,25
Athens,33
Barcelona,27
Berlin,27
Milan,28
Vienna,30
Brussels,24
Prague,28
Budapest,31
Zurich,27
Cairo,39
Casablanca,26
Marrakech,39
Tunis,39
Algiers,28
Tripoli,32
Tangier,30
Beirut,26
Amman,33
Istanbul,27
Doha,40
Manama,36
Nice,19
Santorini,23
Albufeira,31
Catania,30
Malaga,30
Dubrovnik,25
Naples,26
Toulon,25
Sharm El Sheikh,33
Hurghada,33
Djerba,30
Essaouira,22
Agadir,26
