City,Temperature (°C)
United Kingdom,19
Paris,33
Amsterdam,26
Rome,37
Madrid,38
Lisbon,40
Athens,35
Barcelona,33
Berlin,40
Milan,36
Vienna,39
Brussels,29
Prague,38
Budapest,37
Zurich,31
Cairo,40
Casablanca,30
Marrakech,41
Tunis,40
Algiers,27
Tripoli,31
Tangier,31
Beirut,30
Amman,33
Istanbul,31
Doha,44
Manama,35
Nice,24
Santorini,26
Albufeira,30
Catania,35
Malaga,31
Dubrovnik,29
Naples,30
Toulon,33
Sharm El Sheikh,35
Hurghada,35
Djerba,29
Essaouira,26
Agadir,34
