City,Temperature (°C)
United Kingdom,16
Paris,26
Amsterdam,20
Rome,35
Madrid,36
Lisbon,32
Athens,34
Barcelona,33
Berlin,25
Milan,32
Vienna,33
Brussels,23
Prague,29
Budapest,34
Zurich,32
Cairo,38
Casablanca,31
Marrakech,42
Tunis,40
Algiers,32
Tripoli,37
Tangier,30
Beirut,35
Amman,33
Istanbul,28
Doha,43
Manama,42
Nice,22
Santorini,25
Albufeira,32
Catania,34
Malaga,35
Dubrovnik,30
Naples,32
Toulon,28
Sharm El Sheikh,34
Hurghada,34
Djerba,32
Essaouira,30
Agadir,34
